No	class	name	modifier	type	prm_name	ja	en
1		BigInteger	static get	desc		多倍長整数クラス	
2		BigInteger	static get	returns			
3		BigDecimal	static get	desc		任意精度浮動小数点クラス	
4		BigDecimal	static get	returns			
5		RoundingMode	static get	desc		BigDecimal用の丸め設定クラス	
6		RoundingMode	static get	returns			
7		MathContext	static get	desc		BigDecimal用の環境設定クラス	
8		MathContext	static get	returns			
9		Complex	static get	desc		複素数クラス	
10		Complex	static get	returns			
11		Matrix	static get	desc		複素行列クラス	
12		Matrix	static get	returns			
13		Random	static get	desc		乱数クラス	
14		Random	static get	returns			
15		DEFAULT_CONTEXT	let	desc		初期化するときにcontextを設定しなかった場合のデフォルト値	
16	DecimalTool	DecimalTool	class	desc		BigDecimal 内で使用する関数群	
17	DecimalTool	ToBigDecimalFromString	static	desc		文字列から BigDecimal で使用するデータの作成	Create data for BigDecimal from strings.
18	DecimalTool	ToBigDecimalFromString	static	param	ntext		
19	DecimalTool	ToBigDecimalFromString	static	returns	ntext		
20	DecimalTool	ToBigDecimalFromNumber	static	desc		数値から BigDecimal で使用するデータの作成	Create data for BigDecimal from number.
21	DecimalTool	ToBigDecimalFromNumber	static	param	value		
22	DecimalTool	ToBigDecimalFromNumber	static	returns	value		
23	DecimalTool	export		desc		任意精度浮動小数点演算クラス (immutable)	
24	DecimalTool	constructor		desc		"任意精度浮動小数点を作成
配列で設定する場合は、 BigInteger, [スケール値=0], [環境=default], [精度設定=default]
オブジェクトで設定する場合は、 integer, [scale=0], [default_context=default], [context=default]"	
25	DecimalTool	constructor		param	number	任意精度実数データ	
26	DecimalTool	this._scale		desc		スケール	
27	DecimalTool	this.default_context		desc		初期化時に使用したcontext	Context used during initialization.
28	DecimalTool	this.integer		desc		整数部分	Integer part.
29	DecimalTool	this.int_string		desc		文字列化した整数部分（キャッシュ用）	Integer part of string (for cache).
30	DecimalTool	create	static	desc		BigDecimal を作成	
31	DecimalTool	create	static	param	number	任意精度実数データ	
32	DecimalTool	create	static	returns	number		
33	DecimalTool	valueOf	static	desc		指定した数値から BigDecimal 型に変換	Convert number to BigDecimal type.
34	DecimalTool	valueOf	static	param	x		
35	DecimalTool	valueOf	static	param	scale		
36	DecimalTool	valueOf	static	returns	scale		
37	DecimalTool	_toBigDecimal	static	desc		BigDecimal を作成	
38	DecimalTool	_toBigDecimal	static	param	number		
39	DecimalTool	_toBigDecimal	static	returns	number		
40	DecimalTool	_toBigInteger	static	desc		BigInteger を作成	
41	DecimalTool	_toBigInteger	static	param	number		
42	DecimalTool	_toBigInteger	static	returns	number		
43	DecimalTool	_toFloat	static	desc		実数を作成	
44	DecimalTool	_toFloat	static	param	number		
45	DecimalTool	_toFloat	static	returns	number		
46	DecimalTool	_toInteger	static	desc		整数を作成	
47	DecimalTool	_toInteger	static	param	number		
48	DecimalTool	_toInteger	static	returns	number		
49	DecimalTool	_getUnsignedIntegerString		desc		"符号を除いた文字列を作成
キャッシュがなければ作成し、キャッシュがあればそれを返す"	
50	DecimalTool	_getUnsignedIntegerString		returns			
51	DecimalTool	clone		desc		ディープコピー	
52	DecimalTool	clone		returns			
53	DecimalTool	scale		desc		倍率	
54	DecimalTool	scale		returns			
